Pixels, Value
0, 7360
0.1, 7360
0.2, 7360
0.3, 7360
0.4, 7360
0.5, 7360
0.6, 7360
0.7, 7872
0.8, 7872
0.9, 7872
1, 7872
1.1, 7872
1.2, 7872
1.3, 7872
1.4, 7872
1.5, 7872
1.6, 7872
1.7, 7360
1.8, 7360
1.9, 7360
2, 7360
2.1, 7360
2.2, 7360
2.3, 7360
2.4, 7360
2.5, 7360
2.6, 7360
2.7, 7680
2.8, 7680
2.9, 7680
3, 7680
3.1, 7680
3.2, 7680
3.3, 7680
3.4, 7680
3.5, 7680
3.6, 7680
3.7, 8000
3.8, 8000
3.9, 8000
4, 8000
4.1, 8000
4.2, 8000
4.3, 8000
4.4, 8000
4.5, 8000
4.6, 8000
4.7, 7488
4.8, 7488
4.9, 7488
5, 7488
5.1, 7488
5.2, 7488
5.3, 7488
5.4, 7488
5.5, 7488
5.6, 7488
5.7, 7680
5.8, 7680
5.9, 7680
6, 7680
6.1, 7680
6.2, 7680
6.3, 7680
6.4, 7680
6.5, 7680
6.6, 7680
6.7, 7360
6.8, 7360
6.9, 7360
7, 7360
7.1, 7360
7.2, 7360
7.3, 7360
7.4, 7360
7.5, 7360
7.6, 7360
7.7, 6976
7.8, 6976
7.9, 6976
8, 6976
8.1, 6976
8.2, 6976
8.3, 6976
8.4, 6976
8.5, 6976
8.6, 6976
8.7, 7552
8.8, 7552
8.9, 7552
9, 7552
9.1, 7552
9.2, 7552
9.3, 7552
9.4, 7552
9.5, 7552
9.6, 7552
9.7, 7360
9.8, 7360
9.9, 7360
10, 7360
10.1, 7360
10.2, 7360
10.3, 7360
10.4, 7360
10.5, 7360
10.6, 7360
10.7, 7232
10.8, 7232
10.9, 7232
11, 7232
11.1, 7232
11.2, 7232
11.3, 7232
11.4, 7232
11.5, 7232
11.6, 7232
11.7, 7616
11.8, 7616
11.9, 7616
12, 7616
12.1, 7616
12.2, 7616
12.3, 7616
12.4, 7616
12.5, 7616
12.6, 7616
12.7, 7680
12.8, 7680
12.9, 7680
13, 7680
13.1, 7680
13.2, 7680
13.3, 7680
13.4, 7680
13.5, 7680
13.6, 7680
13.7, 7808
13.8, 7808
13.9, 7808
14, 7808
14.1, 7808
14.2, 7808
14.3, 7808
14.4, 7808
14.5, 7808
14.6, 7808
14.7, 6848
14.8, 6848
14.9, 6848
15, 6848
15.1, 6848
15.2, 6848
15.3, 6848
15.4, 6848
15.5, 6848
15.6, 6848
15.7, 7296
15.8, 7296
15.9, 7296
16, 7296
16.1, 7296
16.2, 7296
16.3, 7296
16.4, 7296
16.5, 7296
16.6, 7296
16.7, 7680
16.8, 7680
16.9, 7680
17, 7680
17.1, 7680
17.2, 7680
17.3, 7680
17.4, 7680
17.5, 7680
17.6, 7680
17.7, 7168
17.8, 7168
17.9, 7168
18, 7168
18.1, 7168
18.2, 7168
18.3, 7168
18.4, 7168
18.5, 7168
18.6, 7168
18.7, 7296
18.8, 7296
18.9, 7296
19, 7296
19.1, 7296
19.2, 7296
19.3, 7296
19.4, 7296
19.5, 7296
19.6, 7296
19.7, 7552
19.8, 7552
19.9, 7552
20, 7552
20.1, 7552
20.2, 7552
20.3, 7552
20.4, 7552
20.5, 7552
20.6, 7552
20.7, 7232
20.8, 7232
20.9, 7232
21, 7232
21.1, 7232
21.2, 7232
21.3, 7232
21.4, 7232
21.5, 7232
21.6, 7232
21.7, 7552
21.8, 7552
21.9, 7552
22, 7552
22.1, 7552
22.2, 7552
22.3, 7552
22.4, 7552
22.5, 7552
22.6, 7552
22.7, 6848
22.8, 6848
22.9, 6848
23, 6848
23.1, 6848
23.2, 6848
23.3, 6848
23.4, 6848
23.5, 6848
23.6, 6848
23.7, 7232
23.8, 7232
23.9, 7232
24, 7232
24.1, 7232
24.2, 7232
24.3, 7232
24.4, 7232
24.5, 7232
24.6, 7232
24.7, 7488
24.8, 7488
24.9, 7488
25, 7488
25.1, 7488
25.2, 7488
25.3, 7488
25.4, 7488
25.5, 7488
25.6, 7488
25.7, 7360
25.8, 7360
25.9, 7360
26, 7360
26.1, 7360
26.2, 7360
26.3, 7360
26.4, 7360
26.5, 7360
26.6, 7360
26.7, 7552
26.8, 7552
26.9, 7552
27, 7552
27.1, 7552
27.2, 7552
27.3, 7552
27.4, 7552
27.5, 7552
27.6, 7552
27.7, 6720
27.8, 6720
27.9, 6720
28, 6720
28.1, 6720
28.2, 6720
28.3, 6720
28.4, 6720
28.5, 6720
28.6, 6720
28.7, 7232
28.8, 7232
28.9, 7232
29, 7232
29.1, 7232
29.2, 7232
29.3, 7232
29.4, 7232
29.5, 7232
29.6, 7232
29.7, 7104
29.8, 7104
29.9, 7104
30, 7104
30.1, 7104
30.2, 7104
30.3, 7104
30.4, 7104
30.5, 7104
30.6, 7104
30.7, 7232
30.8, 7232
30.9, 7232
31, 7232
31.1, 7232
31.2, 7232
31.3, 7232
31.4, 7232
31.5, 7232
31.6, 7232
31.7, 7552
31.8, 7552
31.9, 7552
32, 7552
32.1, 7552
32.2, 7552
32.3, 7552
32.4, 7552
32.5, 7552
32.6, 7552
32.7, 7232
32.8, 7232
32.9, 7232
33, 7232
33.1, 7232
33.2, 7232
33.3, 7232
33.4, 7232
33.5, 7232
33.6, 7232
33.7, 7744
33.8, 7744
33.9, 7744
