Pixel,Value,Minima,,,,,,,,
0,23744,,,,,,,,,
0.1,23744,,,,,,,,,
0.2,23744,,,,,,,,,
0.3,23744,,,,,,,,,
0.4,23744,,,,,,,,,
0.5,23744,,,,,,,,,
0.6,27456,,,,,,,,,
0.7,27456,,,,Spatial Frequency (LP/mm),Size (mm),Minimum,Maximum,,
0.8,27456,,,,0.5,2,5568,40448,0.757997218,
0.9,27456,,,,0.67,1.5,8085.333,42496,0.68030368,
1,27456,,,,1,1,9514.667,40128,0.616673818,
1.1,27456,,,,1.33,0.75,13440,37472,0.47203017,
1.2,27456,,,,2,0.5,19498.67,29312,0.201048869,
1.3,27456,,,,4,0.25,19392,22976,0.084592145,
1.4,27456,,,,,,,,#DIV/0!,
1.5,27456,,,,Spatial Frequency (LP/mm),Size (mm),Minimum,Maximum,#VALUE!,
1.6,17408,,,,0.5,2,0.24358,1.314977,0.68742882,
1.7,17408,,,,0.67,1.5,0.3387,1.276327,0.580564288,
1.8,17408,,,,1,1,0.51796,1.225081,0.405682368,
1.9,17408,,,,1.33,0.75,0.56461,1.09692,0.320373391,
2,17408,,,,2,0.5,0.69383,0.872661,0.114160247,
2.1,17408,,,,4,0.25,0.813099,0.813099,0,
2.2,17408,,,,,,,,,
2.3,17408,,,,,Original,Half,Blocks 50,Blocks 10,Every Other
2.4,17408,,,,Mean,0.8132,0.7541,0.774,0.8184,0.7879
2.5,17408,,,,STD Dev,+/- 0.0152,+/- 0.0164,+/- 0.0261,+/- 0.0230,+/- 0.0191
2.6,7872,,,,,,,,,
2.7,7872,,,,,,,,,
2.8,7872,,,,,,,,,
2.9,7872,,,,,,,,,
3,7872,,,,,,,,,
3.1,7872,,,,,,,,,
3.2,7872,,,,,,,,,
3.3,7872,,,,,,,,,
3.4,7872,,,,,,,,,
3.5,7872,,,,,,,,,
3.6,6336,,,,,,,,,
3.7,6336,,,,,,,,,
3.8,6336,,,,,,,,,
3.9,6336,,,,,,,,,
4,6336,,,,,,,,,
4.1,6336,,,,,,,,,
4.2,6336,,,,,,,,,
4.3,6336,,,,,,,,,
4.4,6336,,,,,,,,,
4.5,6336,,,,,,,,,
4.6,5376,,,,,,,,,
4.7,5376,,,,,,,,,
4.8,5376,,,,,,,,,
4.9,5376,,,,,,,,,
5,5376,,,,,,,,,
5.1,5376,,,,,,,,,
5.2,5376,,,,,,,,,
5.3,5376,,,,,,,,,
5.4,5376,,,,,,,,,
5.5,5376,,,,,,,,,
5.6,5568,,,,,,,,,
5.7,5568,,,,,,,,,
5.8,5568,,,,,,,,,
5.9,5568,,,,,,,,,
6,5568,,,,,,,,,
6.1,5568,,,,,,,,,
6.2,5568,,,,,,,,,
6.3,5568,,,,,,,,,
6.4,5568,,,,,,,,,
6.5,5568,,,,,,,,,
6.6,6208,,,,,,,,,
6.7,6208,,,,,,,,,
6.8,6208,,,,,,,,,
6.9,6208,,,,,,,,,
7,6208,,,,,,,,,
7.1,6208,,,,,,,,,
7.2,6208,,,,,,,,,
7.3,6208,,,,,,,,,
7.4,6208,,,,,,,,,
7.5,6208,,,,,,,,,
7.6,7488,,,,,,,,,
7.7,7488,,,,,,,,,
7.8,7488,,,,,,,,,
7.9,7488,,,,,,,,,
8,7488,,,,,,,,,
8.1,7488,,,,,,,,,
8.2,7488,,,,,,,,,
8.3,7488,,,,,,,,,
8.4,7488,,,,,,,,,
8.5,7488,,,,,,,,,
8.6,17024,,,,,,,,,
8.7,17024,,,,,,,,,
8.8,17024,,,,,,,,,
8.9,17024,,,,,,,,,
9,17024,,,,,,,,,
9.1,17024,,,,,,,,,
9.2,17024,,,,,,,,,
9.3,17024,,,,,,,,,
9.4,17024,,,,,,,,,
9.5,17024,,,,,,,,,
9.6,33728,,,,,,,,,
9.7,33728,,,,,,,,,
9.8,33728,,,,,,,,,
9.9,33728,,,,,,,,,
10,33728,,,,,,,,,
10.1,33728,,,,,,,,,
10.2,33728,,,,,,,,,
10.3,33728,,,,,,,,,
10.4,33728,,,,,,,,,
10.5,33728,,,,,,,,,
10.6,39232,,,,,,,,,
10.7,39232,,,,,,,,,
10.8,39232,,,,,,,,,
10.9,39232,,,,,,,,,
11,39232,,,,,,,,,
11.1,39232,,,,,,,,,
11.2,39232,,,,,,,,,
11.3,39232,,,,,,,,,
11.4,39232,,,,,,,,,
11.5,39232,,,,,,,,,
11.6,38976,,,,,,,,,
11.7,38976,,,,,,,,,
11.8,38976,,,,,,,,,
11.9,38976,,,,,,,,,
12,38976,,,,,,,,,
12.1,38976,,,,,,,,,
12.2,38976,,,,,,,,,
12.3,38976,,,,,,,,,
12.4,38976,,,,,,,,,
12.5,38976,,,,,,,,,
12.6,39744,,,,,,,,,
12.7,39744,,,,,,,,,
12.8,39744,,,,,,,,,
12.9,39744,,,,,,,,,
13,39744,,,,,,,,,
13.1,39744,,,,,,,,,
13.2,39744,,,,,,,,,
13.3,39744,,,,,,,,,
13.4,39744,,,,,,,,,
13.5,39744,,,,,,,,,
13.6,39232,,,,,,,,,
13.7,39232,,,,,,,,,
13.8,39232,,,,,,,,,
13.9,39232,,,,,,,,,
14,39232,,,,,,,,,
14.1,39232,,,,,,,,,
14.2,39232,,,,,,,,,
14.3,39232,,,,,,,,,
14.4,39232,,,,,,,,,
14.5,39232,,,,,,,,,
14.6,36608,,,,,,,,,
14.7,36608,,,,,,,,,
14.8,36608,,,,,,,,,
14.9,36608,,,,,,,,,
15,36608,,,,,,,,,
15.1,36608,,,,,,,,,
15.2,36608,,,,,,,,,
15.3,36608,,,,,,,,,
15.4,36608,,,,,,,,,
15.5,36608,,,,,,,,,
15.6,23168,,,,,,,,,
15.7,23168,,,,,,,,,
15.8,23168,,,,,,,,,
15.9,23168,,,,,,,,,
16,23168,,,,,,,,,
16.1,23168,,,,,,,,,
16.2,23168,,,,,,,,,
16.3,23168,,,,,,,,,
16.4,23168,,,,,,,,,
16.5,23168,,,,,,,,,
16.6,10688,,,,,,,,,
16.7,10688,,,,,,,,,
16.8,10688,,,,,,,,,
16.9,10688,,,,,,,,,
17,10688,,,,,,,,,
17.1,10688,,,,,,,,,
17.2,10688,,,,,,,,,
17.3,10688,,,,,,,,,
17.4,10688,,,,,,,,,
17.5,10688,,,,,,,,,
17.6,6912,,,,,,,,,
17.7,6912,,,,,,,,,
17.8,6912,,,,,,,,,
17.9,6912,,,,,,,,,
18,6912,,,,,,,,,
18.1,6912,,,,,,,,,
18.2,6912,,,,,,,,,
18.3,6912,,,,,,,,,
18.4,6912,,,,,,,,,
18.5,6912,,,,,,,,,
18.6,6208,,,,,,,,,
18.7,6208,,,,,,,,,
18.8,6208,,,,,,,,,
18.9,6208,,,,,,,,,
19,6208,,,,,,,,,
19.1,6208,,,,,,,,,
19.2,6208,,,,,,,,,
19.3,6208,,,,,,,,,
19.4,6208,,,,,,,,,
19.5,6208,,,,,,,,,
19.6,5568,,,,,,,,,
19.7,5568,,,,,,,,,
19.8,5568,,,,,,,,,
19.9,5568,,,,,,,,,
20,5568,,,,,,,,,
20.1,5568,,,,,,,,,
20.2,5568,,,,,,,,,
20.3,5568,,,,,,,,,
20.4,5568,,,,,,,,,
20.5,5568,,,,,,,,,
20.6,5440,,,,,,,,,
20.7,5440,,,,,,,,,
20.8,5440,,,,,,,,,
20.9,5440,,,,,,,,,
21,5440,,,,,,,,,
21.1,5440,,,,,,,,,
21.2,5440,,,,,,,,,
21.3,5440,,,,,,,,,
21.4,5440,,,,,,,,,
21.5,5440,,,,,,,,,
21.6,6016,,,,,,,,,
21.7,6016,,,,,,,,,
21.8,6016,,,,,,,,,
21.9,6016,,,,,,,,,
22,6016,,,,,,,,,
22.1,6016,,,,,,,,,
22.2,6016,,,,,,,,,
22.3,6016,,,,,,,,,
22.4,6016,,,,,,,,,
22.5,6016,,,,,,,,,
22.6,6784,,,,,,,,,
22.7,6784,,,,,,,,,
22.8,6784,,,,,,,,,
22.9,6784,,,,,,,,,
23,6784,,,,,,,,,
23.1,6784,,,,,,,,,
23.2,6784,,,,,,,,,
23.3,6784,,,,,,,,,
23.4,6784,,,,,,,,,
23.5,6784,,,,,,,,,
23.6,9984,,,,,,,,,
23.7,9984,,,,,,,,,
23.8,9984,,,,,,,,,
23.9,9984,,,,,,,,,
24,9984,,,,,,,,,
24.1,9984,,,,,,,,,
24.2,9984,,,,,,,,,
24.3,9984,,,,,,,,,
24.4,9984,,,,,,,,,
24.5,9984,,,,,,,,,
24.6,26688,,,,,,,,,
24.7,26688,,,,,,,,,
24.8,26688,,,,,,,,,
24.9,26688,,,,,,,,,
25,26688,,,,,,,,,
25.1,26688,,,,,,,,,
25.2,26688,,,,,,,,,
25.3,26688,,,,,,,,,
25.4,26688,,,,,,,,,
25.5,26688,,,,,,,,,
25.6,37632,,,,,,,,,
25.7,37632,,,,,,,,,
25.8,37632,,,,,,,,,
25.9,37632,,,,,,,,,
26,37632,,,,,,,,,
26.1,37632,,,,,,,,,
26.2,37632,,,,,,,,,
26.3,37632,,,,,,,,,
26.4,37632,,,,,,,,,
26.5,37632,,,,,,,,,
26.6,41280,,,,,,,,,
26.7,41280,,,,,,,,,
26.8,41280,,,,,,,,,
26.9,41280,,,,,,,,,
27,41280,,,,,,,,,
27.1,41280,,,,,,,,,
27.2,41280,,,,,,,,,
27.3,41280,,,,,,,,,
27.4,41280,,,,,,,,,
27.5,41280,,,,,,,,,
27.6,41664,,,,,,,,,
27.7,41664,,,,,,,,,
27.8,41664,,,,,,,,,
27.9,41664,,,,,,,,,
28,41664,,,,,,,,,
28.1,41664,,,,,,,,,
28.2,41664,,,,,,,,,
28.3,41664,,,,,,,,,
28.4,41664,,,,,,,,,
28.5,41664,,,,,,,,,
28.6,41216,,,,,,,,,
28.7,41216,,,,,,,,,
28.8,41216,,,,,,,,,
28.9,41216,,,,,,,,,
29,41216,,,,,,,,,
29.1,41216,,,,,,,,,
29.2,41216,,,,,,,,,
29.3,41216,,,,,,,,,
29.4,41216,,,,,,,,,
29.5,41216,,,,,,,,,
29.6,38976,,,,,,,,,
29.7,38976,,,,,,,,,
29.8,38976,,,,,,,,,
29.9,38976,,,,,,,,,
30,38976,,,,,,,,,
30.1,38976,,,,,,,,,
30.2,38976,,,,,,,,,
30.3,38976,,,,,,,,,
30.4,38976,,,,,,,,,
30.5,38976,,,,,,,,,
30.6,30016,,,,,,,,,
30.7,30016,,,,,,,,,
30.8,30016,,,,,,,,,
30.9,30016,,,,,,,,,
31,30016,,,,,,,,,
31.1,30016,,,,,,,,,
31.2,30016,,,,,,,,,
31.3,30016,,,,,,,,,
31.4,30016,,,,,,,,,
31.5,30016,,,,,,,,,
31.6,13632,,,,,,,,,
31.7,13632,,,,,,,,,
31.8,13632,,,,,,,,,
31.9,13632,,,,,,,,,
32,13632,,,,,,,,,
32.1,13632,,,,,,,,,
32.2,13632,,,,,,,,,
32.3,13632,,,,,,,,,
32.4,13632,,,,,,,,,
32.5,13632,,,,,,,,,
32.6,7616,,,,,,,,,
32.7,7616,,,,,,,,,
32.8,7616,,,,,,,,,
32.9,7616,,,,,,,,,
33,7616,,,,,,,,,
33.1,7616,,,,,,,,,
33.2,7616,,,,,,,,,
33.3,7616,,,,,,,,,
33.4,7616,,,,,,,,,
33.5,7616,,,,,,,,,
33.6,6336,,,,,,,,,
33.7,6336,,,,,,,,,
33.8,6336,,,,,,,,,
33.9,6336,,,,,,,,,
34,6336,,,,,,,,,
34.1,6336,,,,,,,,,
34.2,6336,,,,,,,,,
34.3,6336,,,,,,,,,
34.4,6336,,,,,,,,,
34.5,6336,,,,,,,,,
34.6,5888,,,,,,,,,
34.7,5888,,,,,,,,,
34.8,5888,,,,,,,,,
34.9,5888,,,,,,,,,
35,5888,,,,,,,,,
35.1,5888,,,,,,,,,
35.2,5888,,,,,,,,,
35.3,5888,,,,,,,,,
35.4,5888,,,,,,,,,
35.5,5888,,,,,,,,,
35.6,6080,,,,,,,,,
35.7,6080,,,,,,,,,
35.8,6080,,,,,,,,,
35.9,6080,,,,,,,,,
36,6080,,,,,,,,,
36.1,6080,,,,,,,,,
36.2,6080,,,,,,,,,
36.3,6080,,,,,,,,,
36.4,6080,,,,,,,,,
36.5,6080,,,,,,,,,
36.6,7360,,,,,,,,,
36.7,7360,,,,,,,,,
36.8,7360,,,,,,,,,
36.9,7360,,,,,,,,,
37,7360,,,,,,,,,
37.1,7360,,,,,,,,,
37.2,7360,,,,,,,,,
37.3,7360,,,,,,,,,
37.4,7360,,,,,,,,,
37.5,7360,,,,,,,,,
37.6,10432,,,,,,,,,
37.7,10432,,,,,,,,,
37.8,10432,,,,,,,,,
37.9,10432,,,,,,,,,
38,10432,,,,,,,,,
38.1,10432,,,,,,,,,
38.2,10432,,,,,,,,,
38.3,10432,,,,,,,,,
38.4,10432,,,,,,,,,
38.5,10432,,,,,,,,,
38.6,24704,,,,,,,,,
38.7,24704,,,,,,,,,
38.8,24704,,,,,,,,,
38.9,24704,,,,,,,,,
39,24704,,,,,,,,,
39.1,24704,,,,,,,,,
39.2,24704,,,,,,,,,
39.3,24704,,,,,,,,,
39.4,24704,,,,,,,,,
39.5,24704,,,,,,,,,
39.6,38592,,,,,,,,,
39.7,38592,,,,,,,,,
39.8,38592,,,,,,,,,
39.9,38592,,,,,,,,,
40,38592,,,,,,,,,
40.1,38592,,,,,,,,,
40.2,38592,,,,,,,,,
40.3,38592,,,,,,,,,
40.4,38592,,,,,,,,,
40.5,38592,,,,,,,,,
40.6,41344,,,,,,,,,
40.7,41344,,,,,,,,,
40.8,41344,,,,,,,,,
40.9,41344,,,,,,,,,
41,41344,,,,,,,,,
41.1,41344,,,,,,,,,
41.2,41344,,,,,,,,,
41.3,41344,,,,,,,,,
41.4,41344,,,,,,,,,
41.5,41344,,,,,,,,,
41.6,42944,,,,,,,,,
41.7,42944,,,,,,,,,
41.8,42944,,,,,,,,,
41.9,42944,,,,,,,,,
42,42944,,,,,,,,,
42.1,42944,,,,,,,,,
42.2,42944,,,,,,,,,
42.3,42944,,,,,,,,,
42.4,42944,,,,,,,,,
42.5,42944,,,,,,,,,
42.6,43392,,,,,,,,,
42.7,43392,,,,,,,,,
42.8,43392,,,,,,,,,
42.9,43392,,,,,,,,,
43,43392,,,,,,,,,
43.1,43392,,,,,,,,,
43.2,43392,,,,,,,,,
43.3,43392,,,,,,,,,
43.4,43392,,,,,,,,,
43.5,43392,,,,,,,,,
43.6,44160,,,,,,,,,
43.7,44160,,,,,,,,,
43.8,44160,,,,,,,,,
43.9,44160,,,,,,,,,
44,44160,,,,,,,,,
44.1,44160,,,,,,,,,
44.2,44160,,,,,,,,,
44.3,44160,,,,,,,,,
44.4,44160,,,,,,,,,
44.5,44160,,,,,,,,,
44.6,44032,,,,,,,,,
44.7,44032,,,,,,,,,
44.8,44032,,,,,,,,,
44.9,44032,,,,,,,,,
45,44032,,,,,,,,,
45.1,44032,,,,,,,,,
45.2,44032,,,,,,,,,
45.3,44032,,,,,,,,,
45.4,44032,,,,,,,,,
45.5,44032,,,,,,,,,
45.6,43776,,,,,,,,,
45.7,43776,,,,,,,,,
45.8,43776,,,,,,,,,
45.9,43776,,,,,,,,,
46,43776,,,,,,,,,
46.1,43776,,,,,,,,,
46.2,43776,,,,,,,,,
46.3,43776,,,,,,,,,
46.4,43776,,,,,,,,,
46.5,43776,,,,,,,,,
46.6,43200,,,,,,,,,
46.7,44416,,,,,,,,,
46.8,44416,,,,,,,,,
46.9,44416,,,,,,,,,
47,44416,,,,,,,,,
47.1,44416,,,,,,,,,
47.2,44416,,,,,,,,,
47.3,44416,,,,,,,,,
47.4,44416,,,,,,,,,
47.5,44416,,,,,,,,,
47.6,43136,,,,,,,,,
47.7,43136,,,,,,,,,
47.8,43136,,,,,,,,,
47.9,43136,,,,,,,,,
48,43136,,,,,,,,,
48.1,43136,,,,,,,,,
48.2,43136,,,,,,,,,
48.3,43136,,,,,,,,,
48.4,43136,,,,,,,,,
48.5,43136,,,,,,,,,
48.6,44928,,,,,,,,,
48.7,44928,,,,,,,,,
48.8,44928,,,,,,,,,
48.9,44928,,,,,,,,,
49,44928,,,,,,,,,
49.1,44928,,,,,,,,,
49.2,44928,,,,,,,,,
49.3,44928,,,,,,,,,
