Pixels, Value
0,2556
0.1,2556
0.2,2556
0.3,2556
0.4,2556
0.5,2556
0.6,2260
0.7,2260
0.8,2260
0.9,2260
1,2260
1.1,2260
1.2,2260
1.3,2260
1.4,2260
1.5,2260
1.6,2404
1.7,2404
1.8,2404
1.9,2404
2,2404
2.1,2404
2.2,2404
2.3,2404
2.4,2404
2.5,2404
2.6,2396
2.7,2396
2.8,2396
2.9,2396
3,2396
3.1,2396
3.2,2396
3.3,2396
3.4,2396
3.5,2396
3.6,2264
3.7,2264
3.8,2264
3.9,2264
4,2264
4.1,2264
4.2,2264
4.3,2264
4.4,2264
4.5,2264
4.6,2456
4.7,2456
4.8,2456
4.9,2456
5,2456
5.1,2456
5.2,2456
5.3,2456
5.4,2456
5.5,2456
5.6,2236
5.7,2236
5.8,2236
5.9,2236
6,2236
6.1,2236
6.2,2236
6.3,2236
6.4,2236
6.5,2236
6.6,2404
6.7,2404
6.8,2404
6.9,2404
7,2404
7.1,2404
7.2,2404
7.3,2404
7.4,2404
7.5,2404
7.6,2220
7.7,2220
7.8,2220
7.9,2220
8,2220
8.1,2220
8.2,2220
8.3,2220
8.4,2220
8.5,2220
8.6,2368
8.7,2368
8.8,2368
8.9,2368
9,2368
9.1,2368
9.2,2368
9.3,2368
9.4,2368
9.5,2368
9.6,2208
9.7,2208
9.8,2208
9.9,2208
10,2208
10.1,2208
10.2,2208
10.3,2208
10.4,2208
10.5,2208
10.6,2440
10.7,2440
10.8,2440
10.9,2440
11,2440
11.1,2440
11.2,2440
11.3,2440
11.4,2440
11.5,2440
11.6,2312
11.7,2312
11.8,2312
11.9,2312
12,2312
12.1,2312
12.2,2312
12.3,2312
12.4,2312
12.5,2312
12.6,2340
12.7,2340
12.8,2340
12.9,2340
13,2340
13.1,2340
13.2,2340
13.3,2340
13.4,2340
13.5,2340
13.6,2472
13.7,2472
13.8,2472
13.9,2472
14,2472
14.1,2472
14.2,2472
14.3,2472
14.4,2472
14.5,2472
14.6,2356
14.7,2356
14.8,2356
14.9,2356
15,2356
15.1,2356
15.2,2356
15.3,2356
15.4,2356
15.5,2356
15.6,2504
15.7,2504
15.8,2504
15.9,2504
16,2504
16.1,2504
16.2,2504
16.3,2504
16.4,2504
16.5,2504
16.6,2540
16.7,2540
16.8,2540
16.9,2540
17,2540
17.1,2540
17.2,2540
17.3,2540
17.4,2540
17.5,2540
17.6,2424
17.7,2424
17.8,2424
17.9,2424
18,2424
18.1,2424
18.2,2424
18.3,2424
18.4,2424
18.5,2424
18.6,2368
18.7,2368
18.8,2368
18.9,2368
19,2368
19.1,2368
19.2,2368
19.3,2368
19.4,2368
19.5,2368
19.6,2212
19.7,2212
19.8,2212
19.9,2212
20,2212
20.1,2212
20.2,2212
20.3,2212
20.4,2212
20.5,2212
20.6,2544
20.7,2544
20.8,2544
20.9,2544
21,2544
21.1,2544
21.2,2544
21.3,2544
21.4,2544
21.5,2544
21.6,2444
21.7,2444
21.8,2444
21.9,2444
22,2444
22.1,2444
22.2,2444
22.3,2444
22.4,2444
22.5,2444
22.6,2468
22.7,2468
22.8,2468
22.9,2468
23,2468
23.1,2468
23.2,2468
23.3,2468
23.4,2468
23.5,2468
23.6,2500
23.7,2500
23.8,2500
23.9,2500
24,2500
24.1,2500
24.2,2500
24.3,2500
24.4,2500
24.5,2500
24.6,2404
24.7,2404
24.8,2404
24.9,2404
25,2404
25.1,2404
25.2,2404
25.3,2404
25.4,2404
25.5,2404
25.6,2268
25.7,2268
25.8,2268
25.9,2268
26,2268
26.1,2268
26.2,2268
26.3,2268
26.4,2268
26.5,2268
26.6,2700
26.7,2700
26.8,2700
26.9,2700
27,2700
27.1,2700
27.2,2700
27.3,2700
27.4,2700
27.5,2700
27.6,2328
27.7,2328
27.8,2328
27.9,2328
28,2328
28.1,2328
28.2,2328
28.3,2328
28.4,2328
28.5,2328
28.6,2540
28.7,2540
28.8,2540
28.9,2540
29,2540
29.1,2540
29.2,2540
29.3,2540
29.4,2540
29.5,2540
29.6,2408
29.7,2408
29.8,2408
29.9,2408
30,2408
30.1,2408
30.2,2408
30.3,2408
30.4,2408
30.5,2408
30.6,2404
30.7,2404
30.8,2404
30.9,2404
31,2404
31.1,2404
31.2,2404
31.3,2404
31.4,2404
31.5,2404
31.6,3688
31.7,3688
31.8,3688
31.9,3688
32,3688
32.1,3688
32.2,3688
32.3,3688
32.4,3688
32.5,3688
32.6,5948
32.7,5948
32.8,5948
32.9,5948
33,5948
33.1,5948
33.2,5948
33.3,5948
33.4,5948
33.5,5948
33.6,5900
33.7,5900
33.8,5900
33.9,5900
34,5900
34.1,5900
34.2,5900
34.3,5900
