Pixels, Value
0, 2400
0.1, 2400
0.2, 2312
0.3, 2312
0.4, 2312
0.5, 2312
0.6, 2312
0.7, 2312
0.8, 2312
0.9, 2312
1, 2312
1.1, 2312
1.2, 2156
1.3, 2156
1.4, 2156
1.5, 2156
1.6, 2156
1.7, 2156
1.8, 2156
1.9, 2156
2, 2156
2.1, 2156
2.2, 2200
2.3, 2200
2.4, 2200
2.5, 2200
2.6, 2200
2.7, 2200
2.8, 2200
2.9, 2200
3, 2200
3.1, 2200
3.2, 2408
3.3, 2408
3.4, 2408
3.5, 2408
3.6, 2408
3.7, 2408
3.8, 2408
3.9, 2408
4, 2408
4.1, 2408
4.2, 2572
4.3, 2572
4.4, 2572
4.5, 2572
4.6, 2572
4.7, 2572
4.8, 2572
4.9, 2572
5, 2572
5.1, 2572
5.2, 2456
5.3, 2456
5.4, 2456
5.5, 2456
5.6, 2456
5.7, 2456
5.8, 2456
5.9, 2456
6, 2456
6.1, 2456
6.2, 2360
6.3, 2360
6.4, 2360
6.5, 2360
6.6, 2360
6.7, 2360
6.8, 2360
6.9, 2360
7, 2360
7.1, 2360
7.2, 2372
7.3, 2372
7.4, 2372
7.5, 2372
7.6, 2372
7.7, 2372
7.8, 2372
7.9, 2372
8, 2372
8.1, 2372
8.2, 2192
8.3, 2192
8.4, 2192
8.5, 2192
8.6, 2192
8.7, 2192
8.8, 2192
8.9, 2192
9, 2192
9.1, 2192
9.2, 2408
9.3, 2408
9.4, 2408
9.5, 2408
9.6, 2408
9.7, 2408
9.8, 2408
9.9, 2408
10, 2408
10.1, 2408
10.2, 2536
10.3, 2536
10.4, 2536
10.5, 2536
10.6, 2536
10.7, 2536
10.8, 2536
10.9, 2536
11, 2536
11.1, 2536
11.2, 2516
11.3, 2516
11.4, 2516
11.5, 2516
11.6, 2516
11.7, 2516
11.8, 2516
11.9, 2516
12, 2516
12.1, 2516
12.2, 2408
12.3, 2408
12.4, 2408
12.5, 2408
12.6, 2408
12.7, 2408
12.8, 2408
12.9, 2408
13, 2408
13.1, 2408
13.2, 2432
13.3, 2432
13.4, 2432
13.5, 2432
13.6, 2432
13.7, 2432
13.8, 2432
13.9, 2432
14, 2432
14.1, 2432
14.2, 2424
14.3, 2424
14.4, 2424
14.5, 2424
14.6, 2424
14.7, 2424
14.8, 2424
14.9, 2424
15, 2424
15.1, 2424
15.2, 2664
15.3, 2664
15.4, 2664
15.5, 2664
15.6, 2664
15.7, 2664
15.8, 2664
15.9, 2664
16, 2664
16.1, 2664
16.2, 2368
16.3, 2368
16.4, 2368
16.5, 2368
16.6, 2368
16.7, 2368
16.8, 2368
16.9, 2368
17, 2368
17.1, 2368
17.2, 2380
17.3, 2380
17.4, 2380
17.5, 2380
17.6, 2380
17.7, 2380
17.8, 2380
17.9, 2380
18, 2380
18.1, 2380
18.2, 2588
18.3, 2588
18.4, 2588
18.5, 2588
18.6, 2588
18.7, 2588
18.8, 2588
18.9, 2588
19, 2588
19.1, 2588
19.2, 2404
19.3, 2404
19.4, 2404
19.5, 2404
19.6, 2404
19.7, 2404
19.8, 2404
19.9, 2404
20, 2404
20.1, 2404
20.2, 2236
20.3, 2236
20.4, 2236
20.5, 2236
20.6, 2236
20.7, 2236
20.8, 2236
20.9, 2236
21, 2236
21.1, 2236
21.2, 2556
21.3, 2556
21.4, 2556
21.5, 2556
21.6, 2556
21.7, 2556
21.8, 2556
21.9, 2556
22, 2556
22.1, 2556
22.2, 2352
22.3, 2352
22.4, 2352
22.5, 2352
22.6, 2352
22.7, 2352
22.8, 2352
22.9, 2352
23, 2352
23.1, 2352
23.2, 2480
23.3, 2480
23.4, 2480
23.5, 2480
23.6, 2480
23.7, 2480
23.8, 2480
23.9, 2480
24, 2480
24.1, 2480
24.2, 2528
24.3, 2528
24.4, 2528
24.5, 2528
24.6, 2528
24.7, 2528
24.8, 2528
24.9, 2528
25, 2528
25.1, 2528
25.2, 2208
25.3, 2208
25.4, 2208
25.5, 2208
25.6, 2208
25.7, 2208
25.8, 2208
25.9, 2208
26, 2208
26.1, 2208
26.2, 2300
26.3, 2300
26.4, 2300
26.5, 2300
26.6, 2300
26.7, 2300
26.8, 2300
26.9, 2300
27, 2300
27.1, 2300
27.2, 2168
27.3, 2168
27.4, 2168
27.5, 2168
27.6, 2168
27.7, 2168
27.8, 2168
27.9, 2168
28, 2168
28.1, 2168
28.2, 2164
28.3, 2164
28.4, 2164
28.5, 2164
28.6, 2164
28.7, 2164
28.8, 2164
28.9, 2164
29, 2164
29.1, 2164
29.2, 2312
29.3, 2312
29.4, 2312
29.5, 2312
29.6, 2312
29.7, 2312
29.8, 2312
29.9, 2312
30, 2312
30.1, 2312
30.2, 2488
30.3, 2488
30.4, 2488
30.5, 2488
30.6, 2488
30.7, 2488
30.8, 2488
30.9, 2488
31, 2488
31.1, 2488
31.2, 2532
31.3, 2532
31.4, 2532
31.5, 2532
31.6, 2532
31.7, 2532
31.8, 2532
31.9, 2532
32, 2532
32.1, 2532
32.2, 2512
32.3, 2512
32.4, 2512
32.5, 2512
32.6, 2512
32.7, 2512
32.8, 2512
32.9, 2512
33, 2512
33.1, 2512
33.2, 2516
33.3, 2516
33.4, 2516
33.5, 2516
33.6, 2516
33.7, 2516
33.8, 2516
33.9, 2516
34, 2516
34.1, 2516
34.2, 2724
34.3, 2724
34.4, 2724
34.5, 2724
34.6, 2724
34.7, 2724
34.8, 2724
34.9, 2724
35, 2724
35.1, 2724
35.2, 9772
35.3, 9772
35.4, 9772
35.5, 9772
35.6, 9772
35.7, 9772
35.8, 9772
35.9, 9772
36, 9772
36.1, 9772
36.2, 14120
36.3, 14120
36.4, 14120
36.5, 14120
36.6, 14120
36.7, 14120
36.8, 14120
36.9, 14120
37, 14120
37.1, 14120
37.2, 11680
37.3, 11680
37.4, 11680
37.5, 11680
37.6, 11680
37.7, 11680
37.8, 11680
37.9, 11680
38, 11680
38.1, 11680
38.2, 10376
38.3, 10376
38.4, 10376
38.5, 10376
38.6, 10376
38.7, 10376
38.8, 10376
38.9, 10376
39, 10376
39.1, 10376
39.2, 10716
39.3, 10716
39.4, 10716
39.5, 10716
39.6, 10716
39.7, 10716
39.8, 10716
39.9, 10716
40, 10716
40.1, 10716
40.2, 11676
40.3, 11676
40.4, 11676
40.5, 11676
40.6, 11676
40.7, 11676
40.8, 11676
40.9, 11676
41, 11676
41.1, 11676
41.2, 12768
41.3, 12768
41.4, 12768
41.5, 12768
41.6, 12768
41.7, 12768
41.8, 12768
41.9, 12768
42, 12768
42.1, 12768
42.2, 6920
42.3, 6920
42.4, 6920
42.5, 6920
42.6, 6920
42.7, 6920
42.8, 6920
42.9, 6920
43, 6920
43.1, 6920
43.2, 2888
43.3, 2888
43.4, 2888
43.5, 2888
43.6, 2888
43.7, 2888
43.8, 2888
43.9, 2888
44, 2888
44.1, 2888
44.2, 2608
44.3, 2608
44.4, 2608
44.5, 2608
44.6, 2608
44.7, 2608
44.8, 2608
44.9, 2608
45, 2608
45.1, 2608
45.2, 2612
45.3, 2612
45.4, 2612
45.5, 2612
45.6, 2612
45.7, 2612
45.8, 2612
45.9, 2612
46, 2612
46.1, 2612
