Pixels, Value
0, 2360
0.1, 2260
0.2, 2260
0.3, 2260
0.4, 2260
0.5, 2260
0.6, 2260
0.7, 2260
0.8, 2260
0.9, 2260
1, 2260
1.1, 2244
1.2, 2244
1.3, 2244
1.4, 2244
1.5, 2244
1.6, 2244
1.7, 2244
1.8, 2244
1.9, 2244
2, 2244
2.1, 2276
2.2, 2276
2.3, 2276
2.4, 2276
2.5, 2276
2.6, 2276
2.7, 2276
2.8, 2276
2.9, 2276
3, 2276
3.1, 2472
3.2, 2472
3.3, 2472
3.4, 2472
3.5, 2472
3.6, 2472
3.7, 2472
3.8, 2472
3.9, 2472
4, 2472
4.1, 2184
4.2, 2184
4.3, 2184
4.4, 2184
4.5, 2184
4.6, 2184
4.7, 2184
4.8, 2184
4.9, 2184
5, 2184
5.1, 2348
5.2, 2348
5.3, 2348
5.4, 2348
5.5, 2348
5.6, 2348
5.7, 2348
5.8, 2348
5.9, 2348
6, 2348
6.1, 2584
6.2, 2584
6.3, 2584
6.4, 2584
6.5, 2584
6.6, 2584
6.7, 2584
6.8, 2584
6.9, 2584
7, 2584
7.1, 2408
7.2, 2408
7.3, 2408
7.4, 2408
7.5, 2408
7.6, 2408
7.7, 2408
7.8, 2408
7.9, 2408
8, 2408
8.1, 2392
8.2, 2392
8.3, 2392
8.4, 2392
8.5, 2392
8.6, 2392
8.7, 2392
8.8, 2392
8.9, 2392
9, 2392
9.1, 2656
9.2, 2656
9.3, 2656
9.4, 2656
9.5, 2656
9.6, 2656
9.7, 2656
9.8, 2656
9.9, 2656
10, 2656
10.1, 2520
10.2, 2520
10.3, 2520
10.4, 2520
10.5, 2520
10.6, 2520
10.7, 2520
10.8, 2520
10.9, 2520
11, 2520
11.1, 2676
11.2, 2676
11.3, 2676
11.4, 2676
11.5, 2676
11.6, 2676
11.7, 2676
11.8, 2676
11.9, 2676
12, 2676
12.1, 2780
12.2, 2780
12.3, 2780
12.4, 2780
12.5, 2780
12.6, 2780
12.7, 2780
12.8, 2780
12.9, 2780
13, 2780
13.1, 2528
13.2, 2528
13.3, 2528
13.4, 2528
13.5, 2528
13.6, 2528
13.7, 2528
13.8, 2528
13.9, 2528
14, 2528
14.1, 2620
14.2, 2620
14.3, 2620
14.4, 2620
14.5, 2620
14.6, 2620
14.7, 2620
14.8, 2620
14.9, 2620
15, 2620
15.1, 2404
15.2, 2404
15.3, 2404
15.4, 2404
15.5, 2404
15.6, 2404
15.7, 2404
15.8, 2404
15.9, 2404
16, 2404
16.1, 2264
16.2, 2264
16.3, 2264
16.4, 2264
16.5, 2264
